`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 49, 'id': '5ad537a15b96ef001a10ab9d', 'loss': 0.004452480003237724, 'grad_norm': 0.2769456207752228, 'input_tokens': 194, 'supervised_tokens': 5}
{'step': 50, 'id': '56e1b62ecd28a01900c67aa6', 'loss': 0.10249961167573929, 'grad_norm': 10.556166648864746, 'input_tokens': 286, 'supervised_tokens': 3}
{'step': 51, 'id': '56e19557e3433e1400422fee', 'loss': 0.005039521958678961, 'grad_norm': 0.19425563514232635, 'input_tokens': 163, 'supervised_tokens': 5}
{'step': 52, 'id': '56e1aff7cd28a01900c67a69', 'loss': 0.1748703271150589, 'grad_norm': 8.043580055236816, 'input_tokens': 276, 'supervised_tokens': 3}
{'step': 53, 'id': '5ad5391e5b96ef001a10aba2', 'loss': 0.0037396172992885113, 'grad_norm': 0.24367065727710724, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 54, 'id': '56e17644e3433e1400422f41', 'loss': 0.0045939101837575436, 'grad_norm': 0.17614859342575073, 'input_tokens': 225, 'supervised_tokens': 5}
{'step': 55, 'id': '5ad54a375b96ef001a10ac4a', 'loss': 0.16041399538516998, 'grad_norm': 15.051913261413574, 'input_tokens': 286, 'supervised_tokens': 5}
{'step': 56, 'id': '5ad569c05b96ef001a10ae3a', 'loss': 0.007502236403524876, 'grad_norm': 0.5881025195121765, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 57, 'id': '5ad54f775b96ef001a10ac88', 'loss': 0.009158119559288025, 'grad_norm': 0.8869175314903259, 'input_tokens': 158, 'supervised_tokens': 5}
{'step': 58, 'id': '56e1aba0e3433e1400423095', 'loss': 0.14395759999752045, 'grad_norm': 5.112671375274658, 'input_tokens': 283, 'supervised_tokens': 4}
{'step': 59, 'id': '56e1e9dfe3433e14004231fe', 'loss': 0.09827214479446411, 'grad_norm': 5.476874351501465, 'input_tokens': 245, 'supervised_tokens': 6}
{'step': 60, 'id': '56e1c720e3433e140042316a', 'loss': 0.5144035816192627, 'grad_norm': 15.418103218078613, 'input_tokens': 263, 'supervised_tokens': 5}
{'step': 61, 'id': '5ad560b85b96ef001a10ad1e', 'loss': 0.03059042990207672, 'grad_norm': 2.841336965560913, 'input_tokens': 167, 'supervised_tokens': 5}
{'step': 62, 'id': '56e1c2eee3433e1400423136', 'loss': 0.026880785822868347, 'grad_norm': 1.1717536449432373, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 63, 'id': '5ad546c75b96ef001a10ac12', 'loss': 0.001140747917816043, 'grad_norm': 0.057384926825761795, 'input_tokens': 279, 'supervised_tokens': 5}
{'step': 64, 'id': '56e1c4fce3433e1400423151', 'loss': 0.2936970293521881, 'grad_norm': 17.69588279724121, 'input_tokens': 171, 'supervised_tokens': 4}
{'step': 65, 'id': '56e1ce08e3433e14004231a5', 'loss': 0.8656267523765564, 'grad_norm': 11.278496742248535, 'input_tokens': 212, 'supervised_tokens': 12}
{'step': 66, 'id': '5ad537a15b96ef001a10ab9c', 'loss': 0.6889211535453796, 'grad_norm': 70.41796112060547, 'input_tokens': 202, 'supervised_tokens': 5}
{'step': 67, 'id': '5ad542db5b96ef001a10abf5', 'loss': 0.0015021248254925013, 'grad_norm': 0.09825094789266586, 'input_tokens': 204, 'supervised_tokens': 5}
{'step': 68, 'id': '56e19557e3433e1400422ff1', 'loss': 0.6041545271873474, 'grad_norm': 7.903975963592529, 'input_tokens': 170, 'supervised_tokens': 9}
{'step': 69, 'id': '5ad572b15b96ef001a10af0a', 'loss': 0.001933935098350048, 'grad_norm': 0.08046705275774002, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 70, 'id': '56e1c9bfe3433e1400423196', 'loss': 0.7072000503540039, 'grad_norm': 9.730100631713867, 'input_tokens': 207, 'supervised_tokens': 9}
{'step': 71, 'id': '5ad54a375b96ef001a10ac49', 'loss': 0.0007165191345848143, 'grad_norm': 0.033597253262996674, 'input_tokens': 272, 'supervised_tokens': 5}
{'step': 72, 'id': '5ad56fe65b96ef001a10aec3', 'loss': 0.001967318821698427, 'grad_norm': 0.1304006278514862, 'input_tokens': 155, 'supervised_tokens': 5}
{'step': 73, 'id': '5ad537a15b96ef001a10ab9d', 'loss': 0.0021826426964253187, 'grad_norm': 0.16968071460723877, 'input_tokens': 194, 'supervised_tokens': 5}
{'step': 74, 'id': '56e1b62ecd28a01900c67aa6', 'loss': 0.024013273417949677, 'grad_norm': 1.7190542221069336, 'input_tokens': 286, 'supervised_tokens': 3}
{'step': 75, 'id': '56e19557e3433e1400422fee', 'loss': 0.0032336346339434385, 'grad_norm': 0.12811008095741272, 'input_tokens': 163, 'supervised_tokens': 5}
