`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 50, 'id': '56e1d9fee3433e14004231cd', 'loss': 1.8360633850097656, 'grad_norm': 21.007497787475586, 'input_tokens': 306, 'supervised_tokens': 9}
{'step': 51, 'id': '56e17644e3433e1400422f43', 'loss': 0.5889193415641785, 'grad_norm': 25.493694305419922, 'input_tokens': 229, 'supervised_tokens': 5}
{'step': 52, 'id': '56e1ce08e3433e14004231a4', 'loss': 0.3370151221752167, 'grad_norm': 8.752751350402832, 'input_tokens': 198, 'supervised_tokens': 8}
{'step': 53, 'id': '5ad561c85b96ef001a10ad3e', 'loss': 0.004201415926218033, 'grad_norm': 0.15513673424720764, 'input_tokens': 248, 'supervised_tokens': 5}
{'step': 54, 'id': '5ad55ee35b96ef001a10ace4', 'loss': 0.003219742327928543, 'grad_norm': 0.1258840262889862, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 55, 'id': '5ad54a375b96ef001a10ac48', 'loss': 0.0031214028131216764, 'grad_norm': 0.11571569740772247, 'input_tokens': 287, 'supervised_tokens': 5}
{'step': 56, 'id': '56e1efa0e3433e140042321d', 'loss': 1.3728837966918945, 'grad_norm': 28.317785263061523, 'input_tokens': 172, 'supervised_tokens': 8}
{'step': 57, 'id': '5ad53d705b96ef001a10abd2', 'loss': 0.27578502893447876, 'grad_norm': 28.982166290283203, 'input_tokens': 163, 'supervised_tokens': 5}
{'step': 58, 'id': '56e1ce08e3433e14004231a8', 'loss': 0.6464077234268188, 'grad_norm': 22.95431137084961, 'input_tokens': 202, 'supervised_tokens': 4}
{'step': 59, 'id': '56e1c720e3433e140042316d', 'loss': 1.255755066871643, 'grad_norm': 14.7382173538208, 'input_tokens': 254, 'supervised_tokens': 9}
{'step': 60, 'id': '5ad543c05b96ef001a10abfe', 'loss': 0.6879734396934509, 'grad_norm': 42.35057067871094, 'input_tokens': 275, 'supervised_tokens': 5}
{'step': 61, 'id': '5ad5391e5b96ef001a10aba2', 'loss': 0.021135713905096054, 'grad_norm': 1.9519010782241821, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 62, 'id': '5ad55fe75b96ef001a10ad0c', 'loss': 0.0017286317888647318, 'grad_norm': 0.05470186099410057, 'input_tokens': 122, 'supervised_tokens': 5}
{'step': 63, 'id': '5ad547945b96ef001a10ac19', 'loss': 0.2706361711025238, 'grad_norm': 23.00575065612793, 'input_tokens': 155, 'supervised_tokens': 5}
{'step': 64, 'id': '5ad5632f5b96ef001a10ad70', 'loss': 0.0034883320331573486, 'grad_norm': 0.17533105611801147, 'input_tokens': 202, 'supervised_tokens': 5}
{'step': 65, 'id': '5ad560b85b96ef001a10ad21', 'loss': 0.0025623433757573366, 'grad_norm': 0.11596068739891052, 'input_tokens': 168, 'supervised_tokens': 5}
